name	type	source	detector	wavelength_nominal	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
S1_D1 760	NIRSCWAMPLITUDE	S1	D1	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S1_D2 760	NIRSCWAMPLITUDE	S1	D2	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S1_D17 760	NIRSCWAMPLITUDE	S1	D17	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S2_D1 760	NIRSCWAMPLITUDE	S2	D1	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S2_D4 760	NIRSCWAMPLITUDE	S2	D4	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S2_D32 760	NIRSCWAMPLITUDE	S2	D32	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S3_D1 760	NIRSCWAMPLITUDE	S3	D1	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S3_D2 760	NIRSCWAMPLITUDE	S3	D2	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S3_D4 760	NIRSCWAMPLITUDE	S3	D4	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S4_D4 760	NIRSCWAMPLITUDE	S4	D4	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S4_D6 760	NIRSCWAMPLITUDE	S4	D6	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S5_D3 760	NIRSCWAMPLITUDE	S5	D3	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S5_D4 760	NIRSCWAMPLITUDE	S5	D4	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S5_D5 760	NIRSCWAMPLITUDE	S5	D5	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S6_D2 760	NIRSCWAMPLITUDE	S6	D2	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S6_D3 760	NIRSCWAMPLITUDE	S6	D3	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S6_D18 760	NIRSCWAMPLITUDE	S6	D18	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S6_D31 760	NIRSCWAMPLITUDE	S6	D31	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S6_D33 760	NIRSCWAMPLITUDE	S6	D33	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S7_D4 760	NIRSCWAMPLITUDE	S7	D4	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S7_D5 760	NIRSCWAMPLITUDE	S7	D5	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S7_D6 760	NIRSCWAMPLITUDE	S7	D6	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S7_D8 760	NIRSCWAMPLITUDE	S7	D8	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S8_D3 760	NIRSCWAMPLITUDE	S8	D3	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S8_D5 760	NIRSCWAMPLITUDE	S8	D5	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S8_D7 760	NIRSCWAMPLITUDE	S8	D7	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S8_D31 760	NIRSCWAMPLITUDE	S8	D31	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S9_D2 760	NIRSCWAMPLITUDE	S9	D2	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S9_D17 760	NIRSCWAMPLITUDE	S9	D17	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S9_D19 760	NIRSCWAMPLITUDE	S9	D19	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S10_D17 760	NIRSCWAMPLITUDE	S10	D17	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S10_D19 760	NIRSCWAMPLITUDE	S10	D19	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S10_D34 760	NIRSCWAMPLITUDE	S10	D34	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S11_D18 760	NIRSCWAMPLITUDE	S11	D18	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S11_D19 760	NIRSCWAMPLITUDE	S11	D19	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S11_D20 760	NIRSCWAMPLITUDE	S11	D20	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S12_D19 760	NIRSCWAMPLITUDE	S12	D19	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S12_D21 760	NIRSCWAMPLITUDE	S12	D21	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S13_D18 760	NIRSCWAMPLITUDE	S13	D18	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S13_D20 760	NIRSCWAMPLITUDE	S13	D20	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S13_D22 760	NIRSCWAMPLITUDE	S13	D22	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S13_D31 760	NIRSCWAMPLITUDE	S13	D31	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S14_D19 760	NIRSCWAMPLITUDE	S14	D19	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S14_D20 760	NIRSCWAMPLITUDE	S14	D20	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S14_D21 760	NIRSCWAMPLITUDE	S14	D21	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S14_D23 760	NIRSCWAMPLITUDE	S14	D23	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S15_D20 760	NIRSCWAMPLITUDE	S15	D20	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S15_D22 760	NIRSCWAMPLITUDE	S15	D22	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S15_D23 760	NIRSCWAMPLITUDE	S15	D23	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S15_D24 760	NIRSCWAMPLITUDE	S15	D24	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S16_D21 760	NIRSCWAMPLITUDE	S16	D21	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S16_D23 760	NIRSCWAMPLITUDE	S16	D23	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S16_D25 760	NIRSCWAMPLITUDE	S16	D25	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S16_D35 760	NIRSCWAMPLITUDE	S16	D35	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S17_D22 760	NIRSCWAMPLITUDE	S17	D22	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S17_D24 760	NIRSCWAMPLITUDE	S17	D24	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S17_D26 760	NIRSCWAMPLITUDE	S17	D26	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S18_D23 760	NIRSCWAMPLITUDE	S18	D23	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S18_D24 760	NIRSCWAMPLITUDE	S18	D24	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S18_D25 760	NIRSCWAMPLITUDE	S18	D25	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S18_D27 760	NIRSCWAMPLITUDE	S18	D27	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S19_D24 760	NIRSCWAMPLITUDE	S19	D24	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S19_D26 760	NIRSCWAMPLITUDE	S19	D26	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S19_D27 760	NIRSCWAMPLITUDE	S19	D27	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S19_D28 760	NIRSCWAMPLITUDE	S19	D28	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S19_D36 760	NIRSCWAMPLITUDE	S19	D36	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S20_D25 760	NIRSCWAMPLITUDE	S20	D25	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S20_D27 760	NIRSCWAMPLITUDE	S20	D27	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S20_D29 760	NIRSCWAMPLITUDE	S20	D29	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S21_D13 760	NIRSCWAMPLITUDE	S21	D13	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S21_D16 760	NIRSCWAMPLITUDE	S21	D16	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S21_D28 760	NIRSCWAMPLITUDE	S21	D28	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S22_D16 760	NIRSCWAMPLITUDE	S22	D16	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S22_D28 760	NIRSCWAMPLITUDE	S22	D28	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S22_D29 760	NIRSCWAMPLITUDE	S22	D29	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S22_D30 760	NIRSCWAMPLITUDE	S22	D30	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S23_D15 760	NIRSCWAMPLITUDE	S23	D15	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S23_D16 760	NIRSCWAMPLITUDE	S23	D16	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S23_D30 760	NIRSCWAMPLITUDE	S23	D30	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S23_D37 760	NIRSCWAMPLITUDE	S23	D37	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S24_D29 760	NIRSCWAMPLITUDE	S24	D29	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S24_D30 760	NIRSCWAMPLITUDE	S24	D30	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S25_D6 760	NIRSCWAMPLITUDE	S25	D6	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S25_D8 760	NIRSCWAMPLITUDE	S25	D8	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
S25_D10 760	NIRSCWAMPLITUDE	S25	D10	760.0	V	0.0	6.297229219143577	Near Infrared Spectroscopy (continuous wave)	12.594458438287154	good	n/a
