onset	duration	trial_type	value	sample
23.8994	10.0	1	1	301
38.906	10.0	1	1	490
39.3824	10.0	2	2	496
54.389	10.0	1	1	685
55.6594	10.0	2	2	701
70.666	10.0	1	1	890
71.6188	10.0	3	3	902
86.6254	10.0	1	1	1091
87.34	10.0	2	2	1100
102.3466	10.0	1	1	1289
103.7758	10.0	1	1	1307
118.7824	10.0	1	1	1496
119.497	10.0	3	3	1505
134.5036	10.0	1	1	1694
135.93280000000001	10.0	3	3	1712
150.9394	10.0	1	1	1901
152.2098	10.0	2	2	1917
167.2164	10.0	1	1	2106
168.5662	10.0	3	3	2123
183.5728	10.0	1	1	2312
184.9226	10.0	1	1	2329
199.9292	10.0	1	1	2518
200.9614	10.0	3	3	2531
215.968	10.0	1	1	2720
216.9208	10.0	3	3	2732
231.9274	10.0	1	1	2921
232.8008	10.0	2	2	2932
247.8074	10.0	1	1	3121
248.4426	10.0	2	2	3129
263.4492	10.0	1	1	3318
264.8784	10.0	1	1	3336
279.885	10.0	1	1	3525
280.679	10.0	2	2	3535
295.6856	10.0	1	1	3724
296.4002	10.0	3	3	3733
311.4068	10.0	1	1	3922
312.5184	10.0	3	3	3936
327.525	10.0	1	1	4125
328.0808	10.0	2	2	4132
343.0874	10.0	1	1	4321
343.9608	10.0	1	1	4332
358.9674	7.122125	1	1	4521
